1,1018.1,18.1,16.2,15,11.4,73,84,Trace,2.7,60,37.6
2,1016.1,20,17.4,16.1,15.4,88,88,5.2,0.5,20,21.4
3,1017.1,18.3,17,15.8,14.7,87,85,3.5,1.4,50,21.8
4,1015.1,19.9,17.9,15.9,14.6,81,68,0,7.3,40,21.9
5,1015.6,18.5,17.3,15.9,14.5,84,85,0.8,0.1,60,42.2
6,1018.6,16.8,15.8,14.4,14.1,90,88,1.2,0,40,31.8
7,1021.3,14.7,13.7,12.6,11.1,84,88,0.5,0,20,25.5
8,1020.6,15.5,13.7,11.6,10.3,80,88,0.9,0,10,19.2
9,1018.9,17.1,15.1,13.6,11.3,78,76,0,3.2,50,30.8
10,1017.3,19.1,17.4,15.7,13.9,80,86,Trace,3.1,40,30.1
11,1018.3,18.2,15,12,13.2,89,80,12.5,0,360,26.7
12,1023,15.2,12.1,9.9,5.3,63,21,0,9.6,360,36.8
13,1026.8,15.9,12.9,9.8,3.4,53,45,0,9.5,10,22.8
14,1026.6,16.1,14.5,12.8,8,66,57,Trace,8.7,60,32.6
15,1025,18.4,15.8,13.8,9.8,68,36,0,9,40,31.2
16,1025.8,19.7,16.7,15,10.1,66,47,0,8.4,40,25.8
17,1025.9,19.8,16.5,14.6,12.5,77,38,0,7.7,40,27.8
18,1023.8,19.7,16.9,14.8,12.8,78,50,0,9.8,60,29.5
19,1021,20.2,18.1,15.9,14.6,80,85,0,5,30,28
20,1019.7,22.7,21.3,19.6,18.3,83,88,Trace,0.1,30,30.5
21,1018.5,24,22.3,21.3,20,87,81,0,1.6,60,27.4
22,1021.5,21.6,18.3,16.5,15.9,86,85,Trace,1.7,60,39.9
23,1022.7,16.6,15.5,14.9,13.1,86,88,Trace,0,30,26.6
24,1021.1,17.1,15.7,14.5,13.1,85,88,Trace,0,30,23.3
25,1021.1,21.7,18.4,16.1,14.4,78,87,0,1.1,360,20.7
26,1023.4,17.8,16.1,15.4,12.6,79,88,Trace,0.1,60,30.8
27,1019.6,18.9,16.9,15.5,14.1,84,87,Trace,2,50,27.7
28,1017.4,22.4,19.4,17.4,17.9,91,83,Trace,1,20,10.3
29,1019.4,19.5,18.4,17.4,16.5,89,84,Trace,0.2,40,26.1
30,1018.2,20.6,18.6,17.1,15.9,84,78,0,5.2,30,24.5
31,1016.5,24.5,21.4,19.2,18.4,83,46,0,9.7,30,7.9
1,1015.1,23.8,21.6,19.7,18.6,84,76,0,9.7,210#,9.6#
2,1015.5,20.8,19,18.2,17.2,89,86,Trace,0,020#,21.0#
3,1016.8,19.5,18.2,17,16.4,89,88,Trace,0,40,29.6
4,1017.7,18.1,17.2,16.3,15.8,91,89,0.4,0,30,33.4
5,1017.6,17.9,17.4,16.8,15.6,89,90,Trace,0,40,34.3
6,1017.4,18,17.5,16.9,15.9,90,92,Trace,0,40,29.4
7,1017.7,17.6,17.1,16.3,16.5,96,92,94.1,0,40,33.3
8,1015.9,19,18,17.2,17.4,97,88,7.1,0.1,20,20.5
9,1014.4,23.8,21.6,19,20.4,93,87,0,1.5,20,14.7
10,1013.2,25.8,24.1,22.8,21.5,85,84,Trace,1.2,170,21.3
11,1013.9,26.9,25,23.9,21.5,81,85,Trace,2.7,200,18.3
12,1020,24.5,16.7,11.9,12.9,79,87,Trace,0,360,24.8
13,1019.8,14.8,13.2,11.6,11.3,89,92,1.7,0,30,39.2
14,1015.5,16.3,15.4,14.6,15,97,96,2.3,0,30,27.2
15,1018.9,15.2,12.6,10.8,11.5,93,92,0.6,0,360,19.6
16,1022.3,11.2,10.2,9.1,8.2,88,88,0.6,0,360,28.7
17,1022.8,10.5,9.7,8.9,7.5,87,88,1,0,360,29.9
18,1024.1,10.5,9.1,8.2,6.6,84,94,0.8,0,360,28.3
19,1022.7,11.2,9.5,7.7,7.7,89,92,3.7,0,360,20.4
20,1020,15.9,13.2,10.7,9.7,80,88,Trace,2,30,19
21,1017.2,18.7,15.9,14,12.4,80,84,Trace,3.7,30,23.9
22,1015.6,19.1,17.7,16.7,15.5,87,88,0.1,0.1,20,18.9
23,1014.1,23.8,20.1,17.9,17.7,86,86,0,4,20,10
24,1010.3,24.4,22.3,20.2,20.1,88,87,Trace,1.4,160,19.4
25,1009.4,26.3,24.5,22.9,22.3,87,88,0.4,1.3,180,20.6
26,1009.7,25.8,24.6,23,22.5,88,88,0.3,0.4,190,15.7
27,1011.7,27.1,24.7,23.1,22.7,89,86,Trace,2,180,13.8
28,1014.3,26.2,23.9,22,22.3,91,87,Trace,1.7,130,9.7
1,1014,24,22.1,21.1,21.1,94,88,0,0.5,20,12.5
2,1012,26.2,24.6,22.5,22.3,87,83,0,0.4,160,12.8
3,1011.7,26.9,24.7,23.3,22.6,88,84,0,1.2,140,19.9
4,1011.2,25.8,24.5,23,22.4,88,86,0.1,0.1,150,18.3
5,1010.9,27.5,25.8,24.1,22.5,82,84,Trace,4.7,160,18.8
6,1012.3,27.4,25.7,24.6,22.8,84,82,Trace,0.9,170,19.8
7,1015.6,25.5,18.9,17,17.5,92,94,4.9,0,20,23
8,1017.4,17.8,16.7,13.2,15.7,94,98,0.5,0,50,33.6
9,1025,13.3,10.5,8.9,6.2,75,88,2.7,0,360,54.4
10,1027.6,16.8,12.1,8.1,1.5,48,35,0,10.3,10,31.3
11,1024.1,19.8,15.4,12.1,8.3,63,41,0,9.7,70,16.9
12,1019.7,17.8,16.8,15.7,14.3,85,84,0.4,0,30,21.9
13,1016.2,20.3,18.8,17.4,17.6,93,89,Trace,0.1,30,18.4
14,1014.4,21.6,20,18.9,19.4,96,88,Trace,1.2,20,18
15,1015,26.6,22.9,20.8,21.6,92,65,Trace,7,10,5.8
16,1020.4,21.9,19.2,17.8,16.7,86,85,Trace,0,20,23.3
17,1022.6,20.7,19,17.3,14.8,77,87,0,0.2,60,22.5
18,1020.2,24.4,20.9,18.7,17.1,79,60,0,9,30,5.1
19,1016.3,25.2,21.2,18.9,16.9,78,29,0,10.2,30,10.2
20,1013.4,24.5,21.9,19.7,18.7,82,79,Trace,1,300,6.8
21,1013.7,28.1,22.7,20.1,18.9,80,50,0,8.7,90,14.5
22,1013.3,25.5,21.5,19.3,17.3,77,66,0,8.3,40,23
23,1010.9,26.4,22.9,20.8,20.8,88,82,0,3.4,30,14.5
24,1010.2,29.1,24.4,20.3,21.8,86,71,Trace,4.7,100,5.3
25,1017.5,20.2,16.7,14.7,11.1,71,88,8.9,0.3,360,45.9
26,1021.2,20.9,17.5,14.7,7.4,52,28,0,10.3,80,34
27,1021.3,20.9,18.3,16.5,12.1,67,86,0,0.5,50,27.7
28,1020.3,24.7,19.9,17,13.2,66,32,0,10,70,21.8
29,1020,19.4,18.5,17.1,11.2,63,72,0,0.6,70,45.7
30,1018.2,20.5,19,17.9,16,83,87,Trace,0.1,50,40.3
31,1016,24.9,21.6,19.9,18.8,84,77,Trace,6.7,40,21.5
1,1013.6,26.2,23,21.1,21,89,82,Trace,2.3,20,9.2
2,1015.1,24.8,21.2,18.4,19.8,92,87,2,1,20,20
3,1017.6,18.4,18.1,17.6,16.1,88,88,Trace,0,60,42
4,1014.8,20.1,18.8,17.7,17.5,92,87,Trace,0.1,30,26.5
5,1012.4,21.7,20.5,19.4,19.7,95,87,Trace,0.1,20,15.5
6,1012.4,25.9,22.9,21.3,21.6,93,88,Trace,0.9,20,13.3
7,1016.7,22.4,19.6,18.1,18,91,88,1.8,0,50,36.6
8,1015.9,18.3,17.3,15.5,15.2,88,89,9.6,0,20,29.9
9,1013.4,21,19.3,17.7,17.1,87,85,Trace,1.8,40,15.8
10,1011,19.9,19.3,18.7,18.6,96,90,1.7,0,20,21.1
11,1008.8,26.2,23.6,19.9,22,91,84,Trace,0.9,170,18.7
12,1009.4,28.4,26.1,24.4,23.8,87,78,0,2.1,170,12.5
13,1013.8,29.5,24.6,19.5,22.9,91,83,0.9,3.8,150,22.6
14,1016.9,19.8,19.1,18.1,17.4,90,89,0.3,0,70,39.6
15,1018.1,19.7,16.6,13.5,15.6,94,87,8.2,0,360,28.5
16,1020,18.3,16.5,14.3,13.6,83,88,Trace,0,20,23.5
17,1019.2,19.6,18.4,16.4,15.6,84,88,2,0,60,34
18,1016.1,20.4,19.2,17.8,17.9,92,88,3.1,0.1,50,26.8
19,1012.3,25.5,22,20.2,20.1,89,80,Trace,5.2,30,15.2
20,1010.4,25.6,23.3,21.7,22.3,94,84,1.1,0.5,20,11.4
21,1010,28.4,26,23.7,23.6,87,85,0,2,160,16.3
22,1010.9,28.4,24.4,21.1,22,87,87,6.8,0.5,190,17.1
